N_Name,P_BUS,PP_BUS,GEOID
River Terrace Benning Greenway Fort Dupont,0.29773,29.8,11001007703
Brightwood Park Crestwood Petworth,0.299412,29.9,11001002202
Columbia Heights Mt. Pleasant Park View,0.299473,29.9,11001003600
Ivy City Arboretum Trinidad Carver Langston,0.300898,30.1,11001008903
Congress Heights Bellevue Washington Highlands,0.305985,30.6,11001009810
Douglass Shipley Terrace,0.311134,31.1,11001007404
Brightwood Park Crestwood Petworth,0.315088,31.5,11001002001
Takoma Brightwood Manor Park,0.316578,31.7,11001001804
Takoma Brightwood Manor Park,0.318182,31.8,11001001803
Douglass Shipley Terrace,0.319835,32.0,11001007409
Ivy City Arboretum Trinidad Carver Langston,0.319911,32.0,11001008904
Historic Anacostia,0.320611,32.1,11001007503
Twining Fairlawn Fort Davis Park Dupont Park,0.320942,32.1,11001007709
Twining Fairlawn Fort Davis Park Dupont Park,0.323877,32.4,11001007601
Congress Heights Bellevue Washington Highlands,0.325867,32.6,11001009811
Columbia Heights Mt. Pleasant Park View,0.331981,33.2,11001002802
Kalorama Heights Adams Morgan Lanier Heights,0.332234,33.2,11001003800
Ivy City Arboretum Trinidad Carver Langston,0.336301,33.6,11001008804
Columbia Heights Mt. Pleasant Park View,0.339672,34.0,11001002801
Woodland/Fort Stanton Garfield Heights Knox Hill,0.363636,36.4,11001007502
Sheridan Barry Farm Buena Vista,0.366492,36.6,11001007406
